Идентификационный ключ инцидента операционного риска,Идентификатор события,Статус события,Признак авторегистрации инцидента,Кем выявлено событие,Название источника,Тип источника инцидента (уровень 1),Тип источника инцидента (уровень 2),Тип события – уровень 1,Тип события – уровень 2,Дата обнаружения (Событие),Дата начала инцидента операционного риска,Дата ввода (Событие),Дата первого подтверждения,Дата последнего подтверждения,Идентификатор профиля риска,Наименование профиля риска,Тип клиента,Количество ошибок,Номер заявки,Номер договора,Идентификатор договора,Предварительное описание,Подробное описание,Идентификатор оргструктуры,Орг. структура – уровень 2 (Терр. структура / Департамент ДЗО),Орг. структура – уровень 3 (Блок / ТБ / ПЦП),Орг. структура – уровень 4 (Дивизион / Департамент),Орг. структура – уровень 5,Орг. структура – уровень 6,Орг. структура – уровень 7,Орг. структура – уровень 8,Орг. структура – уровень 9,Орг. структура – уровень 10,Идентификатор функционального блока,Функциональный блок – уровень 2,Функциональный блок – уровень 3,Функциональный блок – уровень 4,Процесс – уровень 1,Процесс – уровень 2,Процесс – уровень 3,Процесс – уровень 4 (Наименование процесса),Клиентский путь – уровень 4,Идентификационный ключ направления деятельности,Направление деятельности банка,Поднаправление деятельности банка,Связь с ИБ-риском,Связь с риском информационных систем,Связь с поведенческим риском,Связь с модельным риском,Общая сумма всех последствий (руб.),Прямая потеря – итого (руб.),Прямая потеря – с кредитным риском (руб.),Прямая потеря – без кредитного риска (руб.),Косвенная потеря – итого (руб.),Косвенная потеря – с кредитным риском (руб.),Косвенная потеря – без кредитного риска (руб.),Нереализовавшаяся потеря – итого (руб.),Нереализовавшаяся потеря – с кредитным риском (руб.),Нереализовавшаяся потеря – без кредитного риска (руб.),Потеря третьих лиц – итого (руб.),Потеря третьих лиц – с кредитным риском (руб.),Потеря третьих лиц – без кредитного риска (руб.),Прибыль – итого (руб.),Прибыль – с кредитным риском (руб.),Прибыль – без кредитного риска (руб.),Возмещение – итого по инциденту (руб.)
2696877655504024178,EVE-5066009,Черновик,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-866050,AGR-696513,AGR-SID-707980,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4454,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-961,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-866,Розничные банковские услуги,РКО ФЛ,Y,N,Y,Y,,,,,,,,,,,,,,,,,
2541460439931393222,EVE-5935999,Утверждён,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-536917,AGR-426975,AGR-SID-704366,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-5844,ПАО Сбербанк,Поволжский банк,Отделение,,,,,,,FB-207,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-103,Розничные банковские услуги,РКО ФЛ,N,Y,Y,N,1509184.38,1509184.38,,1509184.38,,,,,,,,,,,,,447467.93
7613975505540696051,EVE-5714188,Черновик,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибки персонала,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-904613,AGR-273960,AGR-SID-328799,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-2375,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-829,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-479,Розничные банковские услуги,РКО ФЛ,Y,Y,N,N,1133273.41,1133273.41,,1133273.41,,,,,,,,,,,,,404678.47
1398346918628151903,EVE-5053215,Возмещение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-534992,AGR-353369,AGR-SID-433503,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4422,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-641,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Депозиты ФЛ,Платежи и переводы,BA-595,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,N,,,,,,,,,,,,,,,,,
1091151247873164519,EVE-5949058,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибки персонала,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-798127,AGR-345806,AGR-SID-989619,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-8481,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-497,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-658,Розничные банковские услуги,РКО ФЛ,N,Y,N,Y,4946193.57,4946193.57,,4946193.57,,,,,,,,,,,,,635973.9
2764764373297122341,EVE-5266601,Черновик,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-832026,AGR-410708,AGR-SID-358857,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9296,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-285,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-126,Розничные банковские услуги,РКО ФЛ,N,Y,Y,Y,,,,,,,,,,,,,,,,,
8710254413741913022,EVE-5867967,Закрыт,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-399368,AGR-396580,AGR-SID-829205,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-4041,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-113,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Дебетовые карты,Платежи и переводы,BA-684,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,N,4786338.24,4786338.24,,4786338.24,,,,,,,,,,,,,1361141.01
4515971883283841565,EVE-5318494,Утверждение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Действия третьих лиц,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-188317,AGR-336467,AGR-SID-870451,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3361,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-881,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-352,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,N,2983521.75,2983521.75,,2983521.75,,,,,,,,,,,,,1148825.73
1086467677403923568,EVE-5660422,Закрыт,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,3,REQ-652338,AGR-891712,AGR-SID-148522,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-2399,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-208,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-862,Розничные банковские услуги,РКО ФЛ,Y,Y,Y,N,2941835.13,2941835.13,,2941835.13,,,,,,,,,,,,,1112969.18
9818610107365423316,EVE-5881175,Утверждение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибки персонала,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-225518,AGR-935089,AGR-SID-467745,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9169,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-347,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,РКО ФЛ,Платежи и переводы,BA-572,Розничные банковские услуги,РКО ФЛ,Y,N,Y,N,1947667.57,1947667.57,,1947667.57,,,,,,,,,,,,,296220.07
6258219605327264403,EVE-5138680,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-482959,AGR-503901,AGR-SID-953103,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9983,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-628,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-347,Розничные банковские услуги,РКО ФЛ,Y,Y,N,N,,,,,,,,,,,,,,,,,
9602140102198473891,EVE-5089238,Возмещение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Технические сбои,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-651548,AGR-212100,AGR-SID-219144,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-2815,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-494,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Дебетовые карты,Платежи и переводы,BA-267,Розничные банковские услуги,РКО ФЛ,Y,Y,N,N,,,,,,,,,,,,,,,,,
3859929532750075462,EVE-5323431,Утверждён,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-432705,AGR-199934,AGR-SID-580402,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9389,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-419,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Депозиты ФЛ,Платежи и переводы,BA-287,Розничные банковские услуги,РКО ФЛ,Y,N,Y,Y,2928160.87,2928160.87,,2928160.87,,,,,,,,,,,,,1033564.76
4809698121027908681,EVE-5988351,Исследование,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Действия третьих лиц,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-830060,AGR-322242,AGR-SID-490385,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3608,ПАО Сбербанк,Юго-Западный банк,Отделение,,,,,,,FB-162,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Дебетовые карты,Платежи и переводы,BA-267,Розничные банковские услуги,РКО ФЛ,Y,N,N,N,2636029.75,2636029.75,,2636029.75,,,,,,,,,,,,,632584.71
4746617599004770006,EVE-5662711,Утверждение,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внутреннее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-220906,AGR-592541,AGR-SID-899657,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3275,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-666,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Дебетовые карты,Платежи и переводы,BA-783,Розничные банковские услуги,РКО ФЛ,Y,Y,N,Y,3111147.32,3111147.32,,3111147.32,,,,,,,,,,,,,465812.96
6142709239211094236,EVE-5244252,Черновик,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,5,REQ-219534,AGR-178354,AGR-SID-179694,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-1227,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-708,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-828,Розничные банковские услуги,РКО ФЛ,Y,N,N,N,3025083.92,3025083.92,,3025083.92,,,,,,,,,,,,,587738.1
6800166154792328285,EVE-5385889,Утверждён,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,4,REQ-257772,AGR-189465,AGR-SID-456354,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3421,ПАО Сбербанк,Среднерусский банк,Отделение,,,,,,,FB-762,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Потребительское кредитование,Платежи и переводы,BA-917,Розничные банковские услуги,РКО ФЛ,N,Y,N,Y,2806388.82,2806388.82,,2806388.82,,,,,,,,,,,,,452202.48
1001517715109327418,EVE-5922455,Черновик,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-868856,AGR-896448,AGR-SID-843527,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6792,ПАО Сбербанк,Московский банк,Отделение,,,,,,,FB-324,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Ипотечное кредитование,Платежи и переводы,BA-563,Розничные банковские услуги,РКО ФЛ,N,N,N,N,,,,,,,,,,,,,,,,,
8676752892169208721,EVE-5587528,Закрыт,Y,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,2,REQ-977453,AGR-907567,AGR-SID-416407,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-6015,ПАО Сбербанк,Среднерусский банк,Отделение,,,,,,,FB-978,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-474,Розничные банковские услуги,РКО ФЛ,N,N,Y,N,2830025.99,2830025.99,,2830025.99,,,,,,,,,,,,,510470.75
2776301900278302142,EVE-5396527,Утверждён,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Внешнее мошенничество,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-913031,AGR-761449,AGR-SID-754072,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-3201,ПАО Сбербанк,Дальневосточный банк,Отделение,,,,,,,FB-801,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитование ФЛ,Платежи и переводы,BA-963,Розничные банковские услуги,РКО ФЛ,Y,Y,N,N,392564.24,392564.24,,392564.24,,,,,,,,,,,,,150888.14
5077338537061273465,EVE-5405913,Возмещение,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Нарушение процесса,Технический сбой,02.01.2025,02.01.2025,02.01.2025,02.01.2025,02.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-878883,AGR-652528,AGR-SID-979010,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-9664,ПАО Сбербанк,Сибирский банк,Отделение,,,,,,,FB-393,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Кредитные карты,Платежи и переводы,BA-134,Розничные банковские услуги,РКО ФЛ,N,Y,Y,Y,4218133.02,4218133.02,,4218133.02,,,,,,,,,,,,,1003184.6
4227096550790189235,EVE-5424816,Утверждён,N,Система мониторинга,РКО ФЛ,Внутренняя система,Сервер авторизации,Ошибка ввода данных,Технический сбой,01.01.2025,01.01.2025,01.01.2025,01.01.2025,01.01.2025,RP-08,Информационная безопасность,Физическое лицо,1,REQ-340660,AGR-419116,AGR-SID-357219,Описание инцидента операционного риска,Подробное описание инцидента операционного риска,ORG-7164,ПАО Сбербанк,Волго-Вятский банк,Отделение,,,,,,,FB-345,Розничный бизнес,Депозиты и расчеты,РКО ФЛ,РКО,РКО ФЛ,Проведение платежа,Депозиты ФЛ,Платежи и переводы,BA-661,Розничные банковские услуги,РКО ФЛ,N,N,Y,Y,2108936.82,2108936.82,,2108936.82,,,,,,,,,,,,,395780.44
